Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0
544.0,2.1,1.13,-74.0,-57.0,-69.0
545.0,2.1,1.23,-72.0,-58.0,-69.0
546.0,2.1,1.33,-76.0,-57.0,-64.0
547.0,2.1,1.43,-74.0,-60.0,-60.0
548.0,2.1,1.53,-79.0,-66.0,-62.0
549.0,2.1,1.63,-73.0,-56.0,-62.0
550.0,2.1,1.73,-70.0,-60.0,-67.0
551.0,2.1,1.83,-71.0,-68.0,-69.0
552.0,2.1,1.93,-66.0,-66.0,-67.0
553.0,2.1,2.03,-66.0,-60.0,-68.0
554.0,2.1,2.13,-73.0,-79.0,-72.0
555.0,2.1,2.23,-76.0,-72.0,-66.0
556.0,2.1,2.33,-66.0,-64.0,-72.0
557.0,2.1,2.43,-62.0,-60.0,-65.0
558.0,2.1,2.53,-64.0,-77.0,-68.0
559.0,2.1,2.63,-65.0,-66.0,-74.0
560.0,2.1,2.73,-69.0,-65.0,-66.0
561.0,2.2,0.83,-71.0,-56.0,-66.0
562.0,2.2,0.93,-76.0,-53.0,-70.0
563.0,2.2,1.03,-73.0,-55.0,-67.0
564.0,2.2,1.13,-77.0,-55.0,-63.0
565.0,2.2,1.23,-70.0,-55.0,-72.0
566.0,2.2,1.33,-80.0,-57.0,-70.0
567.0,2.2,1.43,-74.0,-70.0,-69.0
568.0,2.2,1.53,-71.0,-56.0,-63.0
569.0,2.2,1.63,-83.0,-57.0,-62.0
570.0,2.2,1.73,-73.0,-64.0,-64.0
571.0,2.2,1.83,-74.0,-62.0,-67.0
572.0,2.2,1.93,-77.0,-60.0,-69.0
573.0,2.2,2.03,-71.0,-60.0,-66.0
574.0,2.2,2.13,-65.0,-70.0,-70.0
575.0,2.2,2.23,-62.0,-68.0,-64.0
576.0,2.2,2.33,-62.0,-64.0,-69.0
577.0,2.2,2.43,-65.0,-63.0,-71.0
578.0,2.2,2.53,-64.0,-73.0,-67.0
579.0,2.2,2.63,-63.0,-65.0,-68.0
580.0,2.2,2.73,-63.0,-60.0,-73.0
